Advanced_Thermal_Autoencoder,Temporal_Autoencoder,Ensemble
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
0.0010756940620200793,9.10247223504726e-05,0.0076374008038122086
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
6.609751129872566e-05,0.00027495833430186083,0.003247179849178344
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.6171654049689065e-05,1.2381820849377669e-05,0.000174730862107105
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
0.009936846213223645,0.0007308290980132023,0.07145310054707592
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
8.17531062295556e-05,7.34704995345195e-05,0.001087340750056539
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
3.67837920401687e-05,2.5772498460157424e-06,4.755530141690656e-06
4.9671395421502954e-05,2.357611068449386e-05,0.00032265715022175
0.0017346933930770618,1.3608137370110286e-05,0.010981345600324528
0.0020646217958117546,2.230516274814467e-05,0.013187761317572226
5.40968570503572e-05,9.928553548902652e-05,0.0012001088742290428
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
0.007617907771069132,0.00331667602017833,0.085633802952509
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
0.0005844221107419508,0.00018708590256172808,0.005574672141022878
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.6610262318976514e-05,1.3733786337694357e-05,0.0001926981844551656
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
5.5784243295411514e-05,0.00015332501424572705,0.0018170067749369008
0.021374110587688667,0.006944985308005787,0.2142575471785602
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
0.0023849922448083505,0.00030419583142341823,0.018397251292703396
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
0.00038574442260398976,0.000608267472074664,0.009028759831634826
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.1894986850154175e-05,2.1481434885917333e-05,0.00024945703569520034
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.3710839215694116e-05,1.4874571119239807e-05,0.00018696052342407642
0.07826051211411135,0.024972018794378967,0.7800627184426514
0.001250555051881119,0.0007366919858400295,0.015996964370326893
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.9671395421502954e-05,2.357611068449386e-05,0.00032265715022175
4.9671395421502954e-05,2.357611068449386e-05,0.00032265715022175
0.0012454032957243493,0.0005061277742481309,0.013378003182359353
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
3.6829231313033434e-05,2.317361172652058e-05,0.00023605686626358856
3.8334201598607026e-05,1.3675403943966748e-05,0.00013914361816082572
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
0.008699149936931818,0.0018275390823107923,0.07584268197882629
4.333008157329651e-05,1.743356567530846e-05,0.00021322870267906325
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
0.0032482779001244302,0.00028762724993694217,0.023729451026060437
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
0.001450253878925556,0.000521630794960732,0.014861270859410546
0.0005526848338351099,0.00013849579682758374,0.004826819100150028
0.0013412571668091706,5.058843756050239e-05,0.008881315832119806
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
0.0005783084178899564,9.932831963836468e-05,0.0045512960449797905
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.9671395421502954e-05,2.357611068449386e-05,0.00032265715022175
4.9671395421502954e-05,2.357611068449386e-05,0.00032265715022175
0.0011019552831585562,0.0006375688114758258,0.013935354051239142
0.0017211284020627914,0.0005064982197927769,0.016422944921480494
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
3.870804846732152e-05,2.3170358197719926e-06,1.4136595657895614e-05
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
4.967126484769853e-05,2.357633649216233e-05,0.00032265884828900433
0.00019602614402611633,5.329937407092623e-05,0.0015915210567929432
4.6610262318976514e-05,1.3733786337694357e-05,0.0001926981844551656
