file_name,center_temp,max_temp,min_temp
DIVU20240822115507_jpeg.rf.72b72f6c88deda0e18079589504fb743.jpg,38.1,49.3,0.93
DIVU20240822120117_jpeg.rf.ba40e13f9abcb70bbb1dcc3f79d51dcd.jpg,28.9,34.8,10.93
DIVU20240822144453_jpeg.rf.190bff8d4cba2fd5fe2fef21448eb3ca.jpg,39.1,46.4,0.93
DIVU20240822144702_jpeg.rf.a5332050ff4dcfbbd45e097341e70255.jpg,38.2,,
DIVU20240822150556_jpeg.rf.4b8353d8ed58dddfa35cbc9d6f346323.jpg,34.5,46.6,0.93
DIVU20240905125020_jpeg.rf.1f5f525c0f2db9d99532d1d068489551.jpg,41.6,63.8,0.93
DIVU20240905125448_jpeg.rf.019e0d07be0f37749b6451501bcd6647.jpg,33.2,40.5,0.93
DIVU20240905133806_jpeg.rf.84ff8eaa06e177a996c65b78e50245ee.jpg,42.8,,10.93
DIVU20240905145930_jpeg.rf.53e7df198cac2155e95a3c9106d2e2f1.jpg,41.3,52.4,60.93
DIVU20240905161022_jpeg.rf.7cb6f90fdc9198d5dd24f89f4377e304.jpg,,29.9,0.93
DIVU20240912091227_jpeg.rf.297672cbba18f78ea623d54d0a229200.jpg,37.3,44.7,0.93
DIVU20240912091918_jpeg.rf.ca7c81384c3cc46e07868479c4fadbd9.jpg,35.8,38.7,
DIVU20240912094831_jpeg.rf.a9b9795bfcef80a81e415b7c1692b158.jpg,33.1,46.3,50.93
DIVU20240912094838_jpeg.rf.48f9b90d9a1fbf259d45336291f6b901.jpg,40.3,45.4,
DIVU20240912094845_jpeg.rf.14b61ab2d97ed294ecc4cc1e8abe119e.jpg,35.8,49.1,0.93
DIVU20240912103921_jpeg.rf.36bcb2455ab42593e12c39bfac43c147.jpg,33.5,36,0.93
DIVU20240912115130_jpeg.rf.fa80c29278ad171715b6049978ff547b.jpg,34.9,38.6,28.8
DIVU20240912121055_jpeg.rf.0938c22ddf803c45c403dbb4636bc2a4.jpg,51.2,61,0.93
DIVU20240912123704_jpeg.rf.85d26e5b19676b9ee25c9f546a72b57e.jpg,34.3,38.3,0.98
DIVU20240912132300_jpeg.rf.b2759d49e3cb29911bf430bc3337cbd9.jpg,29.4,44.6,0.93
DIVU20240912144049_jpeg.rf.50ea6836bfe1d0a95cfc8dc810115c3f.jpg,36.6,44.7,0.93
DIVU20240912163118_jpeg.rf.5abe38d85c5dfbe5e927aded48d524dd.jpg,47.5,75.2,
DIVU20240912164733_jpeg.rf.cebb97c7fa5507c2a8b7b6906e8e18f3.jpg,35,52.4,0.93
DIVU20240912165139_jpeg.rf.a62c38046fbf2fa7b948f858aa4ea9f7.jpg,39.6,59.4,10.93
DIVU20240912171752_jpeg.rf.87a86f57323186b73ac4cc4c4625b467.jpg,41.3,60.3,0.93
DIVU20240912171804_jpeg.rf.9dba26f6d358f687cd0dfe623bb308e3.jpg,,60.55,
DIVU20240912173131_jpeg.rf.cdbb0d36b2d1b9f33113a0be73b0ac0a.jpg,,37.7,
DIVU20240912174733_jpeg.rf.aaba85c2f8e876e9ff05c45030141d44.jpg,36.8,51.6,0.93
DIVU20240912174745_jpeg.rf.00bae0d5c567426a7e03067379547e3b.jpg,40.4,51,50.93
IR_28733_jpg.rf.ac5533265c062611158099029487722f.jpg,,,
IR_28739_jpg.rf.53b0b2c0394d145258820db389044185.jpg,,,
IR_28753_jpg.rf.0e346c3ade1a3f4d8ffb70fe3ca683d6.jpg,,,
IR_28755_jpg.rf.019ecc7543f60e8b2a518bb1f955925d.jpg,,,
IR_30619_jpg.rf.57b4054a16eca8e3607aca7d23077226.jpg,,,31.1
IR_30623_jpg.rf.eab4374e5166fbe7aa73e1c32d9bfebf.jpg,,,
IR_30651_jpg.rf.850438cd4288b77de3e00c86b8f77eb9.jpg,,,
IR_30653_jpg.rf.b0032fe1dab5bb3d6e0dc9a0a9c3957c.jpg,,,
IR_30663_jpg.rf.072d27c702b17a29ce491d55aa609749.jpg,,,28.6
IR_30665_jpg.rf.84c4e046efab271640c925d521fa3db0.jpg,,,29.5
IR_30669_jpg.rf.2a69149f2068c277d4e81e6143ec01d2.jpg,,,32.1
IR_30675_jpg.rf.d6d9e465380eef71d73b2af785f5dd28.jpg,,,33.6
IR_30689_jpg.rf.cc6400610465452ffb79cf717d54f477.jpg,,,28.2
IR_30707_jpg.rf.b31bf9c4a5cc44d5b51ef108b83da373.jpg,,,1.16
IR_30713_jpg.rf.5cc2534a4aec12364a3c9ea5137ab94d.jpg,,78.2,28.1
IR_30715_jpg.rf.d709c60518884f17874325c049c43e9b.jpg,,,0.6
IR_30717_jpg.rf.d6ec989ac9cb5877102c91323b9013fc.jpg,,,
IR_30721_jpg.rf.a682fa6ad01d8e4849bf268b80c889f7.jpg,,,
IR_30723_jpg.rf.1106e0719dfbcb86dc76e8ec26604a2b.jpg,,,
IR_30886_jpg.rf.0ba28e468f7a9cf6f70aac5adbd29733.jpg,,,
IR_30908_jpg.rf.e869f2e8332fd4f3d6f69783e1eea71b.jpg,,69,32.4
IR_30918_jpg.rf.7f30556727c879084a2ed53bc976263d.jpg,,,
IR_30934_jpg.rf.0b05a53b7ea34112b769da19dd093369.jpg,,,
IR_30940_jpg.rf.6022b803f9fd3e01898e79cabff467be.jpg,,,34.3
IR_30946_jpg.rf.34c9c84cc844013732433f79b2bdc97c.jpg,,,29.5
