file_name,center_temp,max_temp,min_temp
DIVU20240822095644_jpeg.rf.0734be930bcd09b5c0b86934242d2d51.jpg,,,
DIVU20240822095644_jpeg.rf.1fa578df693a39f6322c4388fe8e745d.jpg,34.5,,0.93
DIVU20240822095644_jpeg.rf.2d0470dae8a5cc396588aa6854ff574c.jpg,34.5,42.2,0.93
DIVU20240822101530_jpeg.rf.36fca1dc6374ceacf8d68074ac5a6f9e.jpg,,,
DIVU20240822101530_jpeg.rf.6691cf89a85dd4cbac12516d00926793.jpg,32,37.5,20.93
DIVU20240822101530_jpeg.rf.ae716701e403812f6bbcb56a56e8d553.jpg,32,37.5,0.93
DIVU20240822101554_jpeg.rf.544ccdbc68d8b62fe304bb83a88a72b3.jpg,,36.8,
DIVU20240822101554_jpeg.rf.6a16fa613e8a85a178f43a844f82698d.jpg,29.3,36.8,0.93
DIVU20240822101554_jpeg.rf.ea3ec5d5ceb32fce19004ce4a28004d0.jpg,,,
DIVU20240822104344_jpeg.rf.9e19dd7ea9c58a880b181aa7976cb21a.jpg,29.7,37.3,210.93
DIVU20240822104344_jpeg.rf.c423864b78a9a5e9d32368aadb18a8bb.jpg,,,
DIVU20240822104344_jpeg.rf.e62ae107fac86d05954bb10c0db73503.jpg,,,3.93
DIVU20240822110421_jpeg.rf.387b713fba51842d9f0cf1848d5b7363.jpg,,,
DIVU20240822110421_jpeg.rf.3c1c82902308e7a38de4afbf68e9ddd9.jpg,30.2,35.6,
DIVU20240822110421_jpeg.rf.5f5e025fbfb9d9c91df593ca87967793.jpg,,,
DIVU20240822110433_jpeg.rf.139a9e9418f075467fbd3dc1c517b94c.jpg,,,
DIVU20240822110433_jpeg.rf.6b4d56f20684031798da589f5f342455.jpg,29.2,43,
DIVU20240822110433_jpeg.rf.d41d17025dd795d084924da2e6dfaa71.jpg,,,
DIVU20240822115515_jpeg.rf.46c81c0649b926f21dc53f209dbe253d.jpg,,,
DIVU20240822115515_jpeg.rf.ca7f70f9e5ef9573a7d787cd10e2ef2a.jpg,46.8,82,0.93
DIVU20240822115515_jpeg.rf.fec32e8c8f8e2e8e691c0221374e1982.jpg,,,
